,loss,accuracy,val_loss,val_accuracy
0,1.2736124992370605,0.46561211347579956,1.5195966958999634,0.35164836049079895
1,0.7989193797111511,0.6767537593841553,1.2049412727355957,0.7170329689979553
2,0.6518170237541199,0.7338376641273499,1.0099793672561646,0.75
3,0.5792631506919861,0.7689133286476135,0.8185023069381714,0.807692289352417
4,0.538144052028656,0.7909215688705444,0.6186125874519348,0.843406617641449
5,0.44647538661956787,0.8246217370033264,0.5072721838951111,0.8241758346557617
6,0.36836567521095276,0.8541952967643738,0.3883605897426605,0.8543956279754639
7,0.406745582818985,0.8500687479972839,0.37491971254348755,0.8653846383094788
8,0.38145387172698975,0.8562585711479187,0.30814409255981445,0.9093406796455383
9,0.33211013674736023,0.8700137734413147,0.2745576798915863,0.9038461446762085
10,0.2654777765274048,0.8947730660438538,0.27184879779815674,0.9093406796455383
